# ADC, I_true
5.000000000000000104e-03 3.999999999999999819e-07
-2.999999999999999889e-01 1.552499999999999991e-01
-6.125000000000000444e-01 3.109899999999999887e-01
-9.224999999999999867e-01 4.668999999999999817e-01
-1.235000000000000098e+00 6.227000000000000313e-01
-1.544999999999999929e+00 7.782999999999999918e-01
-1.857499999999999929e+00 9.330000000000000515e-01
-2.165000000000000036e+00 1.087599999999999900e+00
-2.259999999999999787e+00 1.133299999999999974e+00
-2.012500000000000178e+00 1.010000000000000009e+00
#
#SLOPE: -0.5000394793539323
#OFFSET 0.0045030918937498336
#
